"92","Air Special",NULL,"ASX","AIRSPEC","Czech Republic"
"93","Aero Benin","EM","AEB","AEROBEN","Benin"
"94","Aerocesar",NULL,"AEC"," Aerovias Del Cesar","AEROCESAR"
"95","Aerotrans Airlines",NULL,"AED",,"Russia"
"96","Aegean Airlines","A3","AEE","AEGEAN","Greece"
"97","Aerofumigaciones Sam",NULL,"AEG","FUMIGACIONES SAM","Chile"
"98","Aeroexpreso Interamericano",NULL,"AEI","INTERAM","Colombia"
"99","Air Express",NULL,"AEJ","KHAKI EXPRESS","Tanzania"
"100","Aerocon",NULL,"AEK","AEROCON","Bolivia"
"101","Aero Madrid",NULL,"AEM","AEROMADRID","Spain"
"102","Aeroenlaces Nacionales",NULL,"AEN",,"Mexico"
"103","Aeroservicios Ejecutivos Del Occidente",NULL,"AEO","AERO OCCIDENTE","Mexico"
"104","Aerotec",NULL,"AEP","AEROTEC","Spain"
"105","Air Atlantique","KI","AAG","ATLANTIC","United Kingdom"
"106","Air Europe","PE","AEL","AIR EUROPE","Italy"
"107","Air Alma",NULL,"AAJ","AIR ALMA","Canada"
"108","Air Express",NULL,"AEQ","LUNA","Sweden"
"109","Alaska Central Express","KO","AER","ACE AIR","United States"
"110","ACES Colombia",NULL,"AES","ACES","Colombia"
"111","Aeronautical Radio of Thailand",NULL,"AET","AEROTHAI","Thailand"
"112","Astraeus","5W","AEU","FLYSTAR","United Kingdom"
"113","Aeroventas",NULL,"AEV","AEROVENTAS","Mexico"
"114","Aerosvit Airlines","VV","AEW","AEROSVIT","Ukraine"
"115","Airway Express",NULL,"AEX","AVCO","United States"
"116","Air Italy","I9","AEY","AIR ITALY","Italy"
"117","Aerial Transit Company",NULL,"AEZ","AERIAL TRANZ","United States"
"118","Alfa Air",NULL,"AFA","BLUE ALFA","Czech Republic"
"119","American Falcon","WK","AFB","AMERICAN FALCON","Argentina"
"120","Alliance Airlines","QQ","UTY","UNITY","Australia"
"121","Air Universal",NULL,"UVS","UNI-LEONE","Sierra Leone"
"122","Auvia Air",NULL,"UVT","AUVIA","Indonesia"
"123","African West Air",NULL,"AFC","AFRICAN WEST","Senegal"
"124","Airfast Indonesia",NULL,"AFE","AIRFAST","Indonesia"
"125","Ariana Afghan Airlines","FG","AFG","ARIANA","Afghanistan"
"126","Air Fecteau",NULL,"AFH","FECTO","Canada"
"127","Africaone",NULL,"AFI","AFRICAWORLD","Uganda"
"128","Alliance",NULL,"AFJ","JAMBO","Uganda"
"129","Africa Air Links",NULL,"AFK","AFRICA LINKS","Sierra Leone"
"130","Aeroflot Russian Airlines","SU","AFL","AEROFLOT","Russia"
"131","Aero Empresa Mexicana",NULL,"AFO","AERO EMPRESA","Mexico"
"132","Air Bosna","JA","BON","AIR BOSNA","Bosnia and Herzegovina"
"133","Air Bravo",NULL,"BRF","AIR BRAVO","Uganda"
"134","Air Brasd'or",NULL,"BRL","BRASD'OR","Canada"
"135","Air 500",NULL,"BRM","BOOMERANG","Canada"
"136","Alba Servizi Aerotrasporti",NULL,"AFQ","ALBA","Italy"
"137","Air France","AF","AFR","AIRFRANS","France"
"138","Air Partner",NULL,"ACG","AIR PARTNER","United Kingdom"
"139","Air Caledonie International","SB","ACI","AIRCALIN","France"
"140","Air Caledonia",NULL,"ACM","WEST CAL","Canada"
"141","Air Guam",NULL,"AGM","AIR GUAM","United States"
"142","Air Gabon","GN","AGN","GOLF NOVEMBER","Gabon"
"143","Air Data",NULL,"AFS",,"United Kingdom"
"144","Air Afrique Vacancies",NULL,"AFV","AFRIQUE VACANCE","Ivory Coast"
"145","Air Cargo America",NULL,"MVM","PEGASUS","United States"
"146","Air Salone","2O",,,"Sierra Leone"
"147","Air-Angol",NULL,"NGO","AIR ANGOL","Angola"
"148","Air Nigeria",NULL,"NGP","REGAL EAGLE","Nigeria"
"149","Air Cargo Carriers","2Q","SNC","NIGHT CARGO","United States"
"150","Air Samarkand",NULL,"SND","ARSAM","Uzbekistan"
"151","Air Senegal International","V7","SNG","AIR SENEGAL","Senegal"
"152","Air Sandy",NULL,"SNY","AIR SANDY","Canada"
"153","Air Namibia","SW","NMB","NAMIBIA","Namibia"
"154","Air Intersalonika",NULL,"NSK","INTERSALONIKA","Greece"
"155","Air Anatolia",NULL,"NTL","AIR ANATOLIA","Turkey"
"156","Air Saigon",NULL,"SGA","AIR SAIGON","Vietnam"
"157","Afrique Regional Airways",NULL,"AFW","AFRAIR","Ivory Coast"
"158","Airfreight Express",NULL,"AFX"," ","United Kingdom"
"159","Africa Chartered Services",NULL,"AFY","AFRICA CHARTERED","Nigeria"
"160","Africa Freight Services",NULL,"AFZ","AFREIGHT","Zambia"
"161","Aeronaves Del Centro",NULL,"AGA",,"Venezuela"
"162","Air Service Gabon","G8","AGB",,"Gabon"
"163","Arab Agricultural Aviation Company",NULL,"AGC","AGRICO","Egypt"
"164","Atlantic Gulf Airlines",NULL,"AGF","ATLANTIC GULF","United States"
"165","Aerolitoral","5D","SLI","COSTERA","Mexico"
"166","Algoma Airways",NULL,"AGG","ALGOMA","Canada"
"167","Altagna",NULL,"AGH","ALTAGNA","France"
"168","Angola Air Charter",NULL,"AGO","ANGOLA CHARTER","Angola"
"169","Angola Air Charter",NULL,"AGO","ANGOLA CHARTER","Angola"
"170","AERFI Group",NULL,"AGP","AIR TARA","Ireland"
"171","Aerogala",NULL,"AGQ","GALASERVICE","Chile"
"172","Amadeus Global Travel Distribution","1A","AGT","AMADEUS","Spain"
"173","Angara Airlines",NULL,"AGU","SARMA","Russia"
"174","Air Glaciers","7T","AGV","AIR GLACIERS","Switzerland"
"175","Aero Gambia",NULL,"AGW","AERO GAMBIA","Gambia"
"176","Aviogenex",NULL,"AGX","GENEX","Serbia"
"177","Atlantic Coast Airlines",NULL,"BLR","BLUE RIDGE","United States"
"178","Aero Barloz",NULL,"BLZ","AEROLOZ","Mexico"
"179","Aeroper","PL","PLI","Aeroperu","Peru"
"180","Atlas Blue","8A","BMM","ATLAS BLUE","Morocco"
"181","Aero Banobras",NULL,"BNB","AEROBANOBRAS","Mexico"
"182","Aero Flight Service",NULL,"AGY","FLIGHT GROUP","United States"
"183","Agrolet-Mci",NULL,"AGZ","AGROLET","Slovakia"
"184","Air Alpha Greenland","GD","AHA","AIR ALPHA","Denmark"
"185","Azal Avia Cargo",NULL,"AHC","AZALAVIACARGO","Azerbaijan"
"186","Airport Helicopter Basel",NULL,"AHE"," Muller & Co.","AIRPORT HELICOPTER"
"187","Aeroservices Corporate",NULL,"CJE","BIRD JET","France"
"188","Aspen Helicopters",NULL,"AHF","ASPEN","United States"
"189","Aerochago Airlines",NULL,"AHG","AEROCHAGO","Dominican Republic"
"190","Airplanes Holdings",NULL,"AHH","AIRHOLD","Ireland"
"191","Air Hong Kong","LD","AHK","AIR HONG KONG","Hong Kong"
"192","Aerochiapas",NULL,"AHP","AEROCHIAPAS","Mexico"
"193","Air Adriatic",NULL,"AHR","ADRIATIC","Croatia"
"194","Air Viggi San Raffaele",NULL,"AHS","AIRSAR","Italy"
"195","ABC Air Hungary",NULL,"AHU","ABC HUNGARY","Hungary"
"196","Aeromist-Kharkiv","HT","AHW","AEROMIST","Ukraine"
"197","Azerbaijan Airlines","J2","AHY","AZAL","Azerbaijan"
"198","Avies","U3","AIA","AVIES","Estonia"
"199","Airbus Industrie","AP","AIB","AIRBUS INDUSTRIE","France"
"200","Alpine Air Chile",NULL,"AIH","ALPINE CHILE","Chile"
"201","Air Integra",NULL,"AII","INTEGRA","Canada"
"202","ABC Aerolineas",NULL,"AIJ","ABC AEROLINEAS","Mexico"
"203","African Airlines International Limited",NULL,"AIK","AFRICAN AIRLINES","Kenya"
"204","African International Airways",NULL,"AIN","FLY CARGO","Swaziland"
"205","Alpine Air Express","5A","AIP","ALPINE AIR","United States"
"206","Alicante Internacional Airlines",NULL,"AIU","ALIA","Spain"
"207","Aba Air",NULL,"ABP","BAIR","Czech Republic"
"208","Airblue","ED","ABQ","PAKBLUE","Pakistan"
"209","Airmark Aviation",NULL,"THM","THAI AIRMARK","Thailand"
"210","Airlift International",NULL,"AIR","AIRLIFT","United States"
"211","Airest",NULL,"AIT"," ","Estonia"
"212","Air Baffin",NULL,"BFF","AIR BAFFIN","Canada"
"213","Air Bandama",NULL,"BDM","BANDAMA","Ivory Coast"
"214","Air Berlin","AB","BER","AIR BERLIN","Germany"
"215","Air Brousse",NULL,"ABT","AIR BROUSSE","Canada"
"216","Air Contractors","AG","ABR","CONTRACT","Ireland"
"217","Air Illinois",NULL,"AIL","AIR ILLINOIS","United States"
"218","Air India Limited","AI","AIC","AIRINDIA","India"
"219","Air Inter Gabon",NULL,"AIG"," ","Gabon"
"220","Air Bourbon","ZB","BUB","BOURBON","Reunion"
"221","Air Atlanta Icelandic","CC","ABD","ATLANTA","Iceland"
"222","Air Inuit",NULL,"AIE","AIR INUIT","Canada"
"223","Air Sureste",NULL,"AIS","SURESTE","Spain"
"224","Air Srpska","RB","SBK","Air Srpska","Bosnia and Herzegovina"
"225","Air Tahiti Nui","TN","THT","TAHITI AIRLINES","France"
"226","Airvias S/A Linhas Aereas",NULL,"AIV","AIRVIAS","Brazil"
"227","Aero Services Executive","W4","BES","BIRD EXPRESS","France"
"228","Atlantic Island Airways",NULL,"AIW","TARTAN","Canada"
"229","Aircruising Australia",NULL,"AIX","CRUISER","Australia"
"230","Aircrew Check and Training Australia",NULL,"AIY","AIRCREW","Australia"
"231","Arkia Israel Airlines","IZ","AIZ","ARKIA","Israel"
"232","A J Services",NULL,"AJA","AYJAY SERVICES","United Kingdom"
"233","Aero JBR",NULL,"AJB","AERO JBR","Mexico"
"234","Aero Jet Express",NULL,"AJE","JET EXPRESS","Mexico"
"235","Avia Consult Flugbetriebs",NULL,"AJF","AVIACONSULT","Austria"
"236","Ameristar Jet Charter",NULL,"AJI","AMERISTAR","United States"
"237","A2 Jet Leasing",NULL,"AJJ","ATLANTIC JET","United States"
"238","Allied Air",NULL,"AJK","BAMBI","Nigeria"
"239","Air Jamaica","JM","AJM","JAMAICA","Jamaica"
"240","Air One","AP","ADH","HERON","Italy"
"241","Air Sahara","S2","RSH","SAHARA","India"
"242","Air Malta","KM","AMC","AIR MALTA","Malta"
"243","Aeroejecutivo",NULL,"AJO","AEROEXO","Mexico"
"244","Aero Jets Corporativos",NULL,"AJP","AEROJETS","Mexico"
"245","Aeroejecutivos Colombia",NULL,"AJS","AEROEJECUTIVOS","Colombia"
"246","Amerijet International","M6","AJT","AMERIJET","United States"
"247","Air Jetsul",NULL,"AJU","AIRJETSUL","Portugal"
"248","ANA & JP Express",NULL,"AJV","AYJAY CARGO","Japan"
"249","Alpha Jet International",NULL,"AJW","ALPHAJET","United States"
"250","Air Japan","NQ","AJX","AIR JAPAN","Japan"
"251","Ajet",NULL,"AJY","AYJET","Cyprus"
"252","Air Korea Co. Ltd.",NULL,"AKA",,"Republic of Korea"
"253","Air Livonia",NULL,"LIV","LIVONIA","Estonia"
"254","Air BC",NULL,"ABL","AIRCOACH","Canada"
"255","Air Fret Senegal",NULL,"ABN"," ","Senegal"
"256","Air Jamahiriya Company",NULL,"LJA","AIR JAMAHIRIYA","Libya"
"257","Aktjubavia",NULL,"AKB","KARAB","Kazakhstan"
"258","Arca Aerovias Colombianas Ltda.",NULL,"AKC","ARCA","Colombia"
"259","Anikay Air Company",NULL,"AKF","ANIKAY","Kyrgyzstan"
"260","Akhal",NULL,"AKH","AKHAL","Turkmenistan"
"261","Aeromilenio",NULL,"MNI","AEROMIL","Mexico"
"262","Aklak Air",NULL,"AKK","AKLAK","Canada"
"263","Air Kiribati","4A","AKL",,"Kiribati"
"264","Alkan Air",NULL,"AKN","ALKAN AIR","Canada"
"265","Angkor Airways",NULL,"AKW","ANGKORWAYS","Cambodia"
"266","Air Nippon Network Co. Ltd.","EH","AKX","ALFA WING","Japan"
"267","AK Navigator LLC",NULL,"AKZ","ABSOLUTE","Kazakhstan"
"268","Aero Albatros",NULL,"ALB","ALBATROS","Mexico"
"269","Albion Aviation",NULL,"ALD","ALBION","United Kingdom"
"270","Aeroalas Colombia",NULL,"ALE","AEROALAS","Colombia"
"271","Allied Command Europe (Mobile Force)",NULL,"ALF","ACEFORCE","Belgium"
"272","Aerotaxis Albatros",NULL,"BTS","AEROLINEAS ALBATROS","Mexico"
"273","American Flyers",NULL,"FYS","AMERICAN FLYERS","United States"
"274","Aero Coach Aviation",NULL,"DFA","AERO COACH","United States"
"275","Atlantic Southeast Airlines",NULL,"CAA","Chandler","United States"
"276","ACM Air Charter",NULL,"BVR","BAVARIAN","Germany"
"277","Air Logistics",NULL,"ALG","AIRLOG","United States"
"278","Aerovallarta",NULL,"ALL","VALLARTA","Mexico"
"279","Air ALM",NULL,"ALM","ANTILLEAN","Netherlands Antilles"
"280","Air Lincoln",NULL,"ALN","CHICAGO LINCOLN","United States"
"281","America West Airlines","HP","AWE","CACTUS","United States"
"282","Air Wisconsin","ZW","AWI","AIR WISCONSIN","United States"
"283","Aerotransporte de Carga Union",NULL,"TNO","AEROUNION","Mexico"
"284","Aero Taxis Cessna",NULL,"TND","TAXIS CESSNA","Mexico"
"285","Arizona Express Airlines",NULL,"TMP","TEMPE","United States"
"286","Tatarstan Airlines","U9","TAK","TATARSTAN","Russia"
"287","Allegheny Commuter Airlines",NULL,"ALO","ALLEGHENY","United States"
"288","Alpliner AG",NULL,"ALP","ALPINER","Switzerland"
"289","Altair Aviation (1986)",NULL,"ALQ","ALTAIR","Canada"
"290","Air Luxor STP",NULL,"ALU","LUXORJET","Sao Tome and Principe"
"291","Alas de Venezuela",NULL,"ALV","ALVEN","Venezuela"
"292","Alas Nacionales",NULL,"ALW"," S.A.","ALNACIONAL"
"293","Alyeska Air Service",NULL,"ALY","ALYESKA","United States"
"294","Alta Flights (Charters) Ltd.",NULL,"ALZ"," ","Canada"
"295","Air Sunshine",NULL,"RSI","AIR SUNSHINE","United States"
"296","ATMA",NULL,"AMA","ADIK","Kazakhstan"
"297","Aerolineas Medellin",NULL,"AMD","AEROLINEAS MEDELLIN","Colombia"
"298","Ameriflight",NULL,"AMF","AMFLIGHT","United States"
"299","Air Libert","VD",,,"France"
"300","Air Lithuania","TT","KLA","KAUNAS","Lithuania"
"301","Air Minas Linhas A",NULL,"AMG","AIR MINAS","Brazil"
"302","Alan Mann Helicopters Ltd.",NULL,"AMH","MANN","United Kingdom"
"303","Air Maldives",NULL,"AMI","AIR MALDIVES","Maldives"
"304","Aviation Amos",NULL,"AMJ","AVIATION AMOS","Canada"
"305","Amerer Air",NULL,"AMK","AMER AIR","Austria"
"306","Air Malawi","QM","AML","MALAWI","Malawi"
"307","Aeroputul International Marculesti",NULL,"AMM","AEROM","Moldova"
"308","Air Montenegro",NULL,"AMN","MONTENEGRO","Montenegro"
"309","Air Montreal (Air Holdings Inc.)",NULL,"AMO","AIR MONTREAL","Canada"
"310","Aero Transporte S.A. (ATSA)",NULL,"AMP","ATSA","Peru"
"311","Aeromedicare Ltd.",NULL,"AMQ","LIFELINE","United Kingdom"
"312","Air Sicilia","BM",,,"Italy"
"313","Air Specialties Corporation",NULL,"AMR","AIR AM","United States"
"314","Air Muskoka",NULL,"AMS","AIR MUSKOKA","Canada"
"315","ATA Airlines",NULL,"AMT","AMTRAN","United States"
"316","Air Macau","NX","AMU","AIR MACAO","Macao"
"317","AMC Airlines",NULL,"AMV",,"Egypt"
"318","Air Midwest","ZV","AMW","AIR MIDWEST","United States"
"319","Air Seychelles","HM","SEY","SEYCHELLES","Seychelles"
"320","Air Sofia",NULL,"SFB","AIR SOFIA","Bulgaria"
"321","AeroMéxico","AM","AMX","AEROMEXICO","Mexico"
"322","Air Ambar",NULL,"AMY","AIR AMBAR","Dominican Republic"
"323","Amiya Airline",NULL,"AMZ","AMIYA AIR","Nigeria"
"324","All Nippon Airways","NH","ANA","ALL NIPPON","Japan"
"325","Air Navigation And Trading Co. Ltd.",NULL,"ANB","AIR NAV","United Kingdom"
"326","Anglo Cargo",NULL,"ANC","ANGLO","United Kingdom"
"327","Air Nostrum","YW","ANE","AIR NOSTRUM","Spain"
"328","Air Niugini","PX","ANG","NUIGINI","Papua New Guinea"
"329","Air Arabia","G9","ABY","ARABIA","United Arab Emirates"
"330","Air Canada","AC","ACA","AIR CANADA","Canada"
"331","Airport Bratsk",NULL,"BRP","AEROBRA","Russia"
"332","Air Wings",NULL,"BSB","ARBAS","Moldova"
"333","Air Baltic","BT","BTI","AIRBALTIC","Latvia"
"334","Alajnihah for Air Transport",NULL,"ANH","ALAJNIHAH","Libya"
"335","Air Atlantic (Nig) Limited",NULL,"ANI","NIGALANTIC","Nigeria"
"336","Air Nippon","EL","ANK","ANK AIR","Japan"
"337","Antares Airtransport",NULL,"ANM"," Maintenance & Service GmbH","ANTARES"
"338","Airnorth","TL","ANO","TOPEND","Australia"
"339","Aerol",NULL,"ANQ","ANTIOQUIA","Colombia"
"340","Andes Lineas Aereas",NULL,"ANS","AEROANDES","Argentina"
"341","Air North Charter - Canada","4N","ANT","AIR NORTH","Canada"
"342","Air Nevada",NULL,"ANV","AIR NEVADA","United States"
"343","AOM French Airlines","IW","AOM","French Lines","France"
"344","Aviacion Del Noroeste",NULL,"ANW"," S.A. de C.V.","AVINOR"
"345","Air New Zealand","NZ","ANZ","NEW ZEALAND","New Zealand"
"346","Avia Jaynar",NULL,"SAP","TOBOL","Kazakhstan"
"347","Aero Servicios Empresariales",NULL,"EMS","SERVIEMPRESARIAL","Mexico"
"348","Alcon Servicios Aereos",NULL,"AOA"," S.A. de C.V.","ALCON"
"349","AVCOM","J6","AOC","AERO AVCOM","Russia"
"350","Aero Vodochody",NULL,"AOD","AERO CZECH","Czech Republic"
"351","Air One Executive",NULL,"AOE"," ","Italy"
"352","Atair Pty Ltd.",NULL,"AOF","ATAIR","South Africa"
"353","Aero VIP","2D","AOG","AVIP","Argentina"
"354","Aeromundo Ejecutivo",NULL,"MUN","AEROMUNDO","Mexico"
"355","Aerolinea Muri",NULL,"MUR","MURI","Mexico"
"356","Astoria",NULL,"AOI"," Inc.","ASTORIA"
"357","Aero Rent JSC",NULL,"NRO","AEROMASTER","Russia"
"358","Aeronord-Grup",NULL,"NRP","AERONORD","Moldova"
"359","Aeroatlantico Colombia",NULL,"AOK",,"Colombia"
"360","Angkor Airlines",NULL,"AOL","ANGKOR AIR","Cambodia"
"361","Aero Entreprise",NULL,"AON","AERO ENTERPRISE","France"
"362","As",NULL,"AOO"," Opened Joint Stock Company","COMPANY AS"
"363","Aeropiloto",NULL,"AOP","AEROPILOTO","Portugal"
"364","Aeroenlaces Nacionales",NULL,"VIV","AEROENLACES","Mexico"
"365","Aerovis Airlines",NULL,"VIZ","AEROVIZ","Ukraine"
"366","Avjet International (FZE)",NULL,"VJE",,"United Arab Emirates"
"367","Aerovista Gulf Express",NULL,"VGF","VISTA GULF","United Arab Emirates"
"368","Air Vegas","6V","VGA","AIR VEGAS","United States"
"369","Almaver",NULL,"VER","ALMAVER","Mexico"
"370","Afro International Ent. Limited",NULL,"AOR","INTER-AFRO","Nigeria"
"371","Alitalia Express","XM","SMX","ALIEXPRESS","Italy"
"372","Asia Overnight Express","OE","AOT","ASIA OVERNIGHT","Philippines"
"373","Air Tractor",NULL,"AOU","AIR TRACTOR","Croatia"
"374","Aero Vision",NULL,"AOV","AEROVISION","France"
"375","Aerotaxi Del Valle",NULL,"AOX","AEROVALLE","Colombia"
"376","Air Park Aviation Ltd.",NULL,"APA","CAN-AM","Canada"
"377","Airpac Airlines",NULL,"APC"," Inc.","AIRPAC"
"378","Aeroservicios Monterrey",NULL,"SVM","SERVIMONTE","Mexico"
"379","Amapola Flyg AB",NULL,"APF","AMAPOLA","Sweden"
"380","Air People International",NULL,"APG","AIR PEOPLE","Thailand"
"381","Alpha Aviation",NULL,"APH"," Inc.","AIRFLIGHT"
"382","ASA Pesada",NULL,"API"," Lda.","ASA PESADA"
"383","Air Print",NULL,"APJ"," S.A.","AIR PRINT"
"384","Atlantic Airlines",NULL,"BJK","BLACKJACK","United States"
"385","Aerotransporte Petrolero",NULL,"PET","AEROPETRO","Colombia"
"386","Aero Flight","GV","ARF","Aero Fox","Germany"
"387","ACM Aviation",NULL,"BJT","BAY JET","United States"
"388","Aircompany Barcol",NULL,"BKL","BARCOL","Russia"
"389","All Charter Limited",NULL,"BLA","ALL CHARTER","United Kingdom"
"390","Appalachian Flying Service",NULL,"APL"," Inc.","APPALACHIAN"
"391","Airpac",NULL,"APM"," Inc.","ALASKA PACIFIC"
"392","Aeropro",NULL,"APO","AEROPRO","Canada"
"393","Aerolineas Pacifico Atlantico",NULL,"APP"," S.A. (Apair)","AEROPERLAS"
"394","Aspen Aviation",NULL,"APQ","ASPEN BASE","United States"
"395","Aeropuma",NULL,"APU"," S.A.","AEROPUMA"
"396","Air Plan International",NULL,"APV","AIR PLAN","Democratic Republic of the Congo"
"397","Arrow Air","JW","APW","BIG A","United States"
"398","Apex Air Cargo",NULL,"APX","PARCEL EXPRESS","United States"
"399","APA Internacional",NULL,"APY","APA INTERNACIONAL","Dominican Republic"
"400","Aeroatlas",NULL,"AQA"," S.A.","ATCO"
"401","Aquila Air Ltd.",NULL,"AQL","AQUILA","Canada"
"402","Air Queensland",NULL,"AQN","BUSHAIR","Australia"
"403","Aluminum Company Of America",NULL,"AQO","ALCOA SHUTTLE","United States"
"404","Aviones de Renta de Quintana Roo",NULL,"AQT"," S.A. de C.V.","AVIOQUINTANA"
"405","AirQuarius Aviation",NULL,"AQU","QUARIUS","South Africa"
"406","Aerodyne Charter Company",NULL,"AQZ","QUANZA","United States"
"407","Arik Air","W3","ARA","ARIK AIR","Nigeria"
